stn;time;rre150z0
VEV;202105200650;0.0
VEV;202105200700;0.0
VEV;202105200710;0.0
VEV;202105200720;0.0
VEV;202105200730;0.0
VEV;202105200740;0.0
VEV;202105200750;0.0
VEV;202105200800;0.0
VEV;202105200810;0.0
VEV;202105200820;0.0
VEV;202105200830;0.0
VEV;202105200840;0.0
VEV;202105200850;0.0
VEV;202105200900;0.0
VEV;202105200910;0.0
VEV;202105200920;0.0
VEV;202105200930;0.0
VEV;202105200940;0.0
VEV;202105200950;0.0
VEV;202105201000;0.0
VEV;202105201010;0.0
VEV;202105201020;0.0
VEV;202105201030;0.0
VEV;202105201040;0.0
VEV;202105201050;0.0
VEV;202105201100;0.0
VEV;202105201110;0.0
VEV;202105201120;0.0
VEV;202105201130;0.0
VEV;202105201140;0.0
VEV;202105201150;0.0
VEV;202105201200;0.0
VEV;202105201210;0.0
VEV;202105201220;0.0
VEV;202105201230;0.0
VEV;202105201240;0.0
VEV;202105201250;0.0
VEV;202105201300;0.0
VEV;202105201310;0.0
VEV;202105201320;0.0
VEV;202105201330;0.0
VEV;202105201340;0.0
VEV;202105201350;0.0
VEV;202105201400;0.0
VEV;202105201410;0.0
VEV;202105201420;0.0
VEV;202105201430;0.0
VEV;202105201440;0.0
VEV;202105201450;0.0
VEV;202105201500;0.0
VEV;202105201510;0.0
VEV;202105201520;0.0
VEV;202105201530;0.0
VEV;202105201540;0.0
VEV;202105201550;0.0
VEV;202105201600;0.0
VEV;202105201610;0.0
VEV;202105201620;0.0
VEV;202105201630;0.0
VEV;202105201640;0.0
VEV;202105201650;0.0
VEV;202105201700;0.0
VEV;202105201710;0.0
VEV;202105201720;0.0
VEV;202105201730;0.0
VEV;202105201740;0.0
VEV;202105201750;0.0
VEV;202105201800;0.0
VEV;202105201810;0.0
VEV;202105201820;0.0
VEV;202105201830;0.0
VEV;202105201840;0.0
VEV;202105201850;0.0
VEV;202105201900;0.0
VEV;202105201910;0.0
VEV;202105201920;0.0
VEV;202105201930;0.0
VEV;202105201940;0.0
VEV;202105201950;0.0
VEV;202105202000;0.0
VEV;202105202010;0.0
VEV;202105202020;0.0
VEV;202105202030;0.0
VEV;202105202040;0.0
VEV;202105202050;0.0
VEV;202105202100;0.0
VEV;202105202110;0.0
VEV;202105202120;0.0
VEV;202105202130;0.0
VEV;202105202140;0.0
VEV;202105202150;0.0
VEV;202105202200;0.0
VEV;202105202210;0.0
VEV;202105202220;0.0
VEV;202105202230;0.0
VEV;202105202240;0.0
VEV;202105202250;0.0
VEV;202105202300;0.0
VEV;202105202310;0.0
VEV;202105202320;0.0
VEV;202105202330;0.0
VEV;202105202340;0.0
VEV;202105202350;0.0
VEV;202105210000;0.0
VEV;202105210010;0.0
VEV;202105210020;0.0
VEV;202105210030;0.0
VEV;202105210040;0.0
VEV;202105210050;0.0
VEV;202105210100;0.0
VEV;202105210110;0.0
VEV;202105210120;0.0
VEV;202105210130;0.0
VEV;202105210140;0.0
VEV;202105210150;0.0
VEV;202105210200;0.0
VEV;202105210210;0.0
VEV;202105210220;0.0
VEV;202105210230;0.0
VEV;202105210240;0.0
VEV;202105210250;0.0
VEV;202105210300;0.0
VEV;202105210310;0.0
VEV;202105210320;0.0
VEV;202105210330;0.0
VEV;202105210340;0.0
VEV;202105210350;0.0
VEV;202105210400;0.0
VEV;202105210410;0.0
VEV;202105210420;0.0
VEV;202105210430;0.0
VEV;202105210440;0.0
VEV;202105210450;0.0
VEV;202105210500;0.0
VEV;202105210510;0.0
VEV;202105210520;0.0
VEV;202105210530;0.0
VEV;202105210540;0.0
VEV;202105210550;0.0
VEV;202105210600;0.0
VEV;202105210610;0.0
VEV;202105210620;0.0
VEV;202105210630;0.0
VEV;202105210640;0.0
VEV;202105210650;0.0
VEV;202105210700;0.0
VEV;202105210710;0.0
VEV;202105210720;0.0
VEV;202105210730;0.0
VEV;202105210740;0.0
VEV;202105210750;0.0
VEV;202105210800;0.0
VEV;202105210810;0.1
VEV;202105210820;0.1
VEV;202105210830;0.1
VEV;202105210840;0.0
VEV;202105210850;0.2
VEV;202105210900;0.0
VEV;202105210910;0.1
VEV;202105210920;0.1
VEV;202105210930;0.1
VEV;202105210940;0.1
VEV;202105210950;0.1
VEV;202105211000;0.1
VEV;202105211010;0.0
VEV;202105211020;0.1
VEV;202105211030;0.0
VEV;202105211040;0.0
VEV;202105211050;0.1
VEV;202105211100;0.0
VEV;202105211110;0.0
VEV;202105211120;0.0
